ID,PartNumber,Revision,Release
636,SPI-00488-076,00,2
637,SPI-00489-001-SUN,00,1
638,SPI-00489-035-PTB,02,1
639,SPI-00489-035-PTB,02,2
640,SPI-00489-035-SUN,02,1
641,SPI-00489-035-SUN,02,2
642,SPI-00489-035M-SUN,00,1
643,SPI-00489-035M,00,1
644,SPI-00489-035,02,1
645,SPI-00489-035,02,2
646,SPI-00489-035,02,3
647,SPI-00489-035,02,4
648,SPI-00489-037-PTB,02,1
649,SPI-00489-037-PTB,02,2
650,SPI-00489-037,02,1
651,SPI-00489-037,02,2
652,SPI-00489-037,02,3
653,SPI-00489-039-PTB,02,1
654,SPI-00489-039-PTB,02,2
655,SPI-00489-039,02,1
656,SPI-00489-039,02,2
657,SPI-00489-054-SUN,02,50
658,SPI-00489-054-SUN,02,51
659,SPI-00489-054,02,50
660,SPI-00489-054,02,51
661,SPI-00489-054,02,52
662,SPI-00489-055-INSL,02,1
663,SPI-00489-055-PTB,02,1
664,SPI-00489-055,02,2
665,SPI-00489-056-PTB,02,1
666,SPI-00489-056-PTB,02,2
667,SPI-00489-056-SUN,02,1
668,SPI-00489-056-SUN,02,2
669,SPI-00489-056,02,1
670,SPI-00489-056,02,2
671,SPI-00489-057-SUN,00,50
672,SPI-00489-057,00,50
673,SPI-00489-058-PTB,01,1
674,SPI-00489-061-PTB,00,1
675,SPI-00489-061,00,1
676,SPI-00489-062-M,00,50
677,SPI-00489-062-M,00,51
678,SPI-00489-062-M,00,52
679,SPI-00489-062-PTB,00,2
680,SPI-00489-062-P,00,2
681,SPI-00489-062-SUN,00,2
682,SPI-00489-062-S,00,2
683,SPI-00489-062,00,1
684,SPI-00489-063-PTB,00,1
685,SPI-00489-063-P,00,1
686,SPI-00489-063-SUN,00,1
687,SPI-00489-063-S,00,1
688,SPI-00489-063,00,1
689,SPI-00489-064-PTB,00,50
690,SPI-00489-064,00,50
691,SPI-00489-077-INSL,00,2
692,SPI-00489-077,00,2
693,SPI-00697-027-BLK,09,1
694,SPI-00697-027-BLK,09,2
