ID,SO
726,42363
727,42403
728,42404
729,42407
730,42429
731,42430
732,42408
733,42409
734,42426
735,42442
736,42443
737,42444
738,42400
739,42425
740,42026
741,42373
742,42460
743,42462
744,42466
745,42467
746,42468
747,42470
748,42471
749,42474
750,42478
751,42480
752,42481
753,42490
754,42493
755,42494
756,42509
757,42515
758,42428
759,42432
760,42516
761,42517
762,42518
763,42519
764,42524
765,42459
766,42491
767,42512
768,42513
769,42514
770,42520
771,42521
772,42542
773,42543
774,42544
775,42545
776,42558
777,42559
778,42566
779,42570
780,42575
781,42469
782,42557
783,42571
784,42574
785,42576
786,42578
787,42555
788,42560
789,42572
790,42573
791,42594
792,42604
793,42625
794,42626
795,42627
796,42629
797,42547
798,42657
799,42651
800,42653
801,42654
802,42663
803,42672
804,42673
805,42677
806,42678
807,42680
808,42649
809,42639
810,42641
811,42647
812,42546
813,42618
814,42648
815,42652
816,42681
817,42661
818,42693
819,42701
820,42703
821,42704
822,42705
823,42706
824,42707
825,42709
826,42710
827,42711
828,42720
829,42721
830,42723
831,42724
832,42726
833,42748
834,42749
835,42750
836,42758
837,42579
838,42616
839,42662
840,42769
841,42762
842,42763
843,42764
844,42771
845,42772
846,42674
847,42774
848,42773
849,42489
850,42628
851,42765
852,42768
853,42798
854,42817
855,42775
856,42776
857,42777
858,42778
859,42787
860,42789
861,42790
862,42791
863,42792
864,42793
865,42794
866,42795
867,42799
868,42802
869,42805
870,42806
871,42820
872,42822
873,42824
874,42828
875,42829
876,42830
877,42832
878,42833
879,42836
880,42837
881,42840
882,42839
883,42838
884,42819
885,42818
886,42788
887,42827
888,42848
889,42666
890,42853
891,42857
892,42858
893,42860
894,42861
895,42862
896,42869
897,42872
898,42878
899,42881
900,42882
901,42873
902,42883
903,42888
904,42889
905,42891
906,42892
907,42902
908,42904
909,42905
910,42908
911,42909
912,42910
913,42911
914,42912
915,42890
916,42927
917,42937
918,42938
919,42939
920,42944
921,42971
922,42859
923,42936
924,42958
925,42959
926,42960
927,42961
928,42963
929,42972
930,42973
931,42974
932,42976
933,42978
934,42979
935,42993
936,42994
937,43005
938,43016
939,43017
940,43020
941,43021
942,43022
943,43023
944,43028
945,43029
946,43030
947,43038
948,43039
949,43040
950,43043
951,42955
952,43048
953,43049
954,43050
955,43051
956,43053
957,43058
958,43059
959,43060
960,43061
961,43044
962,43045
963,43046
964,43047
965,99999
966,43078
967,43079
968,43080
969,43083
970,43088
971,43090
972,43094
973,43095
974,43097
975,43100
976,43101
